entropy,steps,value_func_loss,beta,rewards,critic_loss,policy_ddpg_loss,policy_ppo_loss,kl
3.6097422,50.0,1.1988509614471183e-05,0.6666666666666666,-50.0,1.4233275e-05,-0.022253877,-0.022253877,0.012287897
3.609271,50.0,2.433627775481008e-05,0.6666666666666666,-49.35,1.4281669e-05,-0.0078612575,-0.0078612575,0.0028082712
3.6254616,50.0,2.7939559023099104e-05,0.6666666666666666,-49.25,1.3698835e-05,-0.0128405355,-0.0128405355,0.0034275844
3.6348486,50.0,5.845408066038918e-05,1.0,-48.75,1.4088174e-05,-0.021379482,-0.021379482,0.012271562
3.6369972,50.0,2.2612437269249983e-05,1.0,-49.55,1.4092457e-05,-0.007261407,-0.007261407,0.002391197
3.6315472,50.0,1.0688926791847853e-05,1.0,-49.65,1.3923459e-05,-0.00842428,-0.00842428,0.0024211605
3.6360614,50.0,0.00013462695731025146,1.0,-48.5,1.3932006e-05,-0.008642282,-0.008642282,0.0016956582
3.634714,50.0,2.2916223108449886e-05,1.5,-49.65,1.3745302e-05,-0.012030702,-0.012030702,0.00681904
3.6366644,50.0,0.00013308383028036035,1.5,-48.8,1.43484285e-05,-0.011273138,-0.011273138,0.0018734903
3.6440883,50.0,4.3893955007332826e-05,1.5,-49.65,1.3679259e-05,-0.0076784124,-0.0076784124,0.0016468472
3.6283176,50.0,4.305566542188092e-05,2.25,-48.5,1.4222365e-05,-0.016678168,-0.016678168,0.0062089884
3.6226885,50.0,1.9595956068282087e-05,2.25,-49.4,1.4196607e-05,-0.007864531,-0.007864531,0.0020869917
3.6261392,50.0,0.00021357638915444276,2.25,-48.0,1.4088696e-05,-0.010017126,-0.010017126,0.0025051844
3.620811,50.0,3.214037900873769e-05,2.25,-49.65,1.3875185e-05,-0.010463807,-0.010463807,0.0017507283
3.6227336,50.0,4.7519797498042915e-05,2.25,-48.2,1.4418903e-05,-0.013237152,-0.013237152,0.0019941663
3.6167643,50.0,2.6266562243609182e-05,2.25,-48.75,1.33899e-05,-0.01226754,-0.01226754,0.0021363483
3.6324024,50.0,0.00012014094376925105,2.25,-48.5,1.4462542e-05,-0.01710919,-0.01710919,0.0030441207
3.6470096,50.0,2.4605573703901824e-05,2.25,-49.55,1.358245e-05,-0.010329535,-0.010329535,0.0022550302
3.6438062,50.0,2.9130758705396046e-05,1.5,-49.0,1.3742573e-05,-0.00799416,-0.00799416,0.0013433528
3.6445513,50.0,9.618784118989474e-05,1.5,-48.2,1.3409083e-05,-0.011903,-0.011903,0.0033143882
3.622491,50.0,5.745813288398996e-05,1.5,-48.65,1.365972e-05,-0.014773449,-0.014773449,0.004095998
3.627534,50.0,4.56629368697299e-05,1.5,-47.65,1.3699864e-05,-0.013075633,-0.013075633,0.0030514759
3.646568,50.0,4.896531982017742e-05,1.5,-48.0,1.3944568e-05,-0.013227624,-0.013227624,0.002984942
3.6609697,50.0,9.925256775784161e-05,1.5,-46.8,1.3702021e-05,-0.013220455,-0.013220455,0.0028493293
3.6626518,50.0,5.557008544231844e-05,1.5,-47.95,1.3973959e-05,-0.010968241,-0.010968241,0.0026200323
3.6670318,50.0,4.637079156939514e-05,1.5,-48.75,1.3100788e-05,-0.011618103,-0.011618103,0.002999948
3.6651402,50.0,0.00018643153682528917,1.5,-46.65,1.26592595e-05,-0.00986484,-0.00986484,0.0019979794
3.6546926,50.0,0.00015271591585211313,1.5,-48.2,1.3248874e-05,-0.010486388,-0.010486388,0.0021514513
3.638948,50.0,8.592810628378526e-05,1.5,-47.15,1.3215206e-05,-0.014769234,-0.014769234,0.0046744365
3.6392848,50.0,0.00015872351225374736,1.5,-46.15,1.3527988e-05,-0.00981646,-0.00981646,0.0020093417
3.6338544,50.0,0.00020865736796848932,2.25,-45.75,1.28351485e-05,-0.028790442,-0.028790442,0.009060553
3.6158078,50.0,0.0001956682196103915,2.25,-45.3,1.3323158e-05,-0.01723643,-0.01723643,0.0024730044
3.6029744,50.0,0.00018111098605076465,1.5,-46.7,1.2431702e-05,-0.008546162,-0.008546162,0.001359245
3.586269,50.0,7.838733610983435e-05,1.5,-47.95,1.2528988e-05,-0.0153660625,-0.0153660625,0.0026116022
3.5745416,50.0,0.00022936770455624027,1.5,-43.4,1.2747206e-05,-0.012825275,-0.012825275,0.00396163
3.5630698,50.0,0.00011422014400560897,2.25,-43.3,1.2712991e-05,-0.021504927,-0.021504927,0.006640003
