steps,entropy,kl,policy_loss,rewards,beta,critic_loss,value_func_loss
24.2,13.959407,0.0011624659,-0.07417287,5.886138936840242,17.0859375,0.00010307787,0.00031002834697005377
24.1,13.939129,0.0026273313,-0.106963865,4.573939271693687,17.0859375,9.647438e-05,0.0004903665771406763
24.8,13.930878,0.003523371,-0.14012398,5.076586219194975,17.0859375,0.00010503614,0.0011574011137862638
25.35,13.923611,0.002879914,-0.11326935,7.830663037791348,17.0859375,0.00010442605,0.00046931934568459943
22.85,13.907792,0.0024092298,-0.099572234,6.056628570377887,17.0859375,0.00010661523,0.00035276578317687524
22.3,13.890816,0.0033451838,-0.14084458,4.859825375287771,17.0859375,9.832045e-05,0.00020515724945466827
24.55,13.895299,0.00532584,-0.20090796,5.072379081633526,17.0859375,0.00010386342,0.00048564659263328045
25.25,13.872794,0.002238691,-0.086161636,5.984541534769809,17.0859375,0.00010716695,0.0003446252479724379
26.2,13.864993,0.0020089187,-0.08489715,5.801613336289473,17.0859375,0.000106310916,0.0002624410922811233
23.7,13.853251,0.0030094923,-0.12628247,4.647935269016621,17.0859375,0.00010231158,0.00021379169406878906
22.15,13.827009,0.0022918796,-0.095705725,6.323306835354986,17.0859375,0.00010197187,0.0002466250901845891
27.45,13.807719,0.0020857656,-0.09004288,9.706058092809558,17.0859375,0.00010070536,0.0006289155204762772
25.1,13.812173,0.009057582,-0.49934757,5.7045251383835005,25.62890625,0.000103347804,0.0009108132434609203
23.6,13.804864,0.0017978033,-0.079425424,5.290302908944365,25.62890625,0.00010482365,0.0002982138067972621
24.65,13.799447,0.002068332,-0.10778336,7.679695531551187,25.62890625,0.0001063454,0.0004579070634519978
24.8,13.7857275,0.0015053365,-0.084486544,6.151087699033505,25.62890625,0.000107946864,0.0003451442436504938
23.95,13.7746,0.0015337353,-0.08541323,6.189207817193475,25.62890625,0.00010284548,0.00023550183367195552
22.85,13.767856,0.001986944,-0.10644561,7.569381008669199,25.62890625,0.00010507174,0.0002451454297549325
22.95,13.752767,0.001960503,-0.097489275,5.592460050572388,25.62890625,0.00010360346,0.0004526166862402346
22.75,13.735028,0.001769418,-0.09698553,4.902903663151025,25.62890625,0.00010210527,0.0001931080315967463
28.8,13.723699,0.0013096151,-0.07732455,10.474170326237617,17.0859375,0.00010826617,0.0005508446586485032
25.85,13.721457,0.002424288,-0.10224255,7.5643899300446735,17.0859375,0.00011093421,0.00042356611229176454
25.35,13.704597,0.0034288503,-0.14386168,6.525700100243938,17.0859375,0.000110781104,0.0006954142471365863
24.35,13.695033,0.0056902673,-0.20838447,6.128989248589777,17.0859375,0.00011057185,0.001131498163143257
25.25,13.691127,0.0040722536,-0.17507187,9.989108748627856,17.0859375,0.00010815755,0.000714955345011935
26.45,13.670411,0.0026053227,-0.099033505,8.94682232325485,17.0859375,0.00011020633,0.0002327895604593896
28.45,13.663654,0.002224384,-0.09297185,9.820535325223474,17.0859375,0.000108102344,0.0003331930411444101
25.7,13.668363,0.006511744,-0.5350196,8.598418833775455,25.62890625,0.000109748085,0.00022597824316466456
23.2,13.653349,0.0019025658,-0.08831786,7.57084628105112,25.62890625,0.00011234687,0.00029766740581520327
23.85,13.639566,0.0019968702,-0.09790451,5.185758056624396,25.62890625,0.00010541047,0.00021893953277979947
23.65,13.632697,0.0019409551,-0.10030971,5.345838340705365,25.62890625,0.00010845004,0.000558151004438208
24.7,13.627226,0.0026902496,-0.13001496,5.578154116798496,25.62890625,0.000106602754,0.0007365818821555048
25.1,13.626791,0.0016876977,-0.093270116,9.133780062851855,25.62890625,0.00010655698,0.00033085749408004743
25.25,13.631541,0.0018057738,-0.10264545,8.267401868707253,25.62890625,0.00011002927,0.00044646181191018296
23.45,13.626303,0.001744315,-0.09224537,6.636023983774338,25.62890625,0.000108143046,0.0003338421524703242
23.35,13.618546,0.001909885,-0.10446531,6.014883047457455,25.62890625,0.000111589834,0.0003206909629919296
24.75,13.610167,0.0018309256,-0.09857066,7.363805211292432,25.62890625,0.00011202752,0.0006784831307623613
24.65,13.603009,0.0020256254,-0.11049146,3.7611310314369724,25.62890625,0.00011353169,0.000503841107279061
24.15,13.607347,0.0050805863,-0.2368036,7.817192427937814,25.62890625,0.00011194236,0.0010522016201327366
