kl,steps,beta,critic_loss,value_func_loss,policy_loss,rewards,entropy
0.005456958,50.0,2.25,9.6536496e-05,0.00019373008320921204,-0.020487566,-37.95,3.443883
0.0020727457,50.0,2.25,0.00010236081,0.0005442605633127457,-0.014124391,-33.2,3.4458709
0.0045936746,50.0,2.25,0.00010678593,0.0002680749227695959,-0.022106867,-32.0,3.4297595
0.0033067309,50.0,2.25,0.00010342047,0.00034028893781580505,-0.018927833,-33.4,3.4258459
0.0037635132,50.0,2.25,0.00010897913,0.000342107169616528,-0.018727131,-36.35,3.4173028
0.0029030927,50.0,2.25,0.000111943424,0.0004380023088003278,-0.016906371,-29.55,3.3914058
0.0033966326,50.0,2.25,0.00012027726,0.00036356847152746734,-0.019993594,-28.3,3.3705373
0.002951233,50.0,2.25,0.0001318179,0.0004070594234017364,-0.017283704,-26.95,3.3563886
0.005373204,50.0,2.25,0.00013241846,0.00026667798391176835,-0.029128507,-21.25,3.3421962
0.0038963982,50.0,2.25,0.0001523931,0.00018048461119447317,-0.023255154,-16.75,3.315402
0.006049926,50.0,3.375,0.00015465218,0.00019231376394243633,-0.027956227,-18.25,3.2886515
0.0028127902,50.0,3.375,0.00016336096,0.000393277339099386,-0.01782267,-20.95,3.2627058
0.004136206,50.0,3.375,0.00018333348,0.00024264595131485436,-0.02274117,-19.15,3.23392
0.0021690882,50.0,3.375,0.00017713508,0.00019155004207312148,-0.017711028,-13.3,3.2078352
0.0023379335,50.0,3.375,0.00017152909,0.0002066741601162377,-0.015104157,-13.55,3.1843486
0.0037648946,50.0,3.375,0.000179502,0.0002019722825342701,-0.024520934,-14.55,3.1465836
0.0035768193,50.0,3.375,0.00018663915,0.00014825325578079844,-0.027478995,-10.45,3.1313903
0.0031122242,50.0,3.375,0.00020885932,0.00022315675885093623,-0.020767972,-13.05,3.126552
0.0028507283,50.0,3.375,0.00023617841,0.00019717889094626718,-0.020756062,-12.0,3.106417
0.0026301765,50.0,3.375,0.00022358555,0.00016132978238432162,-0.017849684,-10.25,3.084467
0.0023583511,50.0,3.375,0.00023317902,6.996501477721157e-05,-0.018791009,-7.0,3.0630171
0.0035189742,50.0,3.375,0.00022397422,7.434163238998848e-05,-0.018397536,-7.35,3.0401218
0.0033531003,50.0,3.375,0.00022669288,8.545746818671183e-05,-0.018123623,-6.2,3.0171983
0.002912947,50.0,3.375,0.00023962511,7.991024735702629e-05,-0.019894127,-6.6,2.992001
0.003179881,50.0,3.375,0.00023200407,6.9008052366691e-05,-0.016524509,-6.7,2.971489
0.003118602,50.0,3.375,0.00024348705,5.9255655582868456e-05,-0.018732615,-6.2,2.945389
0.003153825,50.0,3.375,0.0002659485,0.00013756529154508815,-0.019154064,-5.85,2.9201233
0.0031506608,50.0,3.375,0.00026133854,4.297555845322004e-05,-0.019954706,-6.1,2.9058537
0.0027720525,50.0,3.375,0.00025125424,1.9479251131430573e-05,-0.01677527,-4.0,2.8903835
0.0029149922,50.0,3.375,0.00025783325,2.371797999316385e-05,-0.019195,-4.15,2.8804216
0.003342426,50.0,3.375,0.00026312593,2.5171849342549962e-05,-0.019263389,-3.8,2.867869
0.0038315726,50.0,3.375,0.00024367693,1.7145247919380845e-05,-0.021691784,-4.0,2.8572245
0.0028018067,50.0,3.375,0.00026603232,1.443057430790804e-05,-0.02315411,-2.8,2.8428092
0.005048919,50.0,3.375,0.00027990385,2.9848834198952363e-05,-0.029235713,-3.85,2.835938
0.0041419277,50.0,3.375,0.0002938158,1.3097835298817306e-05,-0.029717324,-3.3,2.8255966
0.002985272,50.0,3.375,0.00028709692,8.37032069121666e-06,-0.017402,-2.8,2.8090901
0.0032793877,50.0,3.375,0.00029000425,1.5686624762580973e-05,-0.02118503,-3.2,2.78443
0.0034725785,50.0,3.375,0.00028570127,1.2504037863543619e-05,-0.020816378,-3.2,2.7817056
0.0037946703,50.0,3.375,0.00029750998,7.997527784117218e-06,-0.020702615,-3.0,2.7597857
0.0025515235,50.0,3.375,0.0003220331,6.545301050221553e-06,-0.017020449,-2.85,2.7396321
0.0043858336,50.0,3.375,0.00031593163,1.837019675591092e-05,-0.033667985,-3.45,2.7220635
0.0022928903,50.0,3.375,0.00031666874,1.1448898199609558e-05,-0.013467979,-2.55,2.7049031
0.0031417361,50.0,3.375,0.0003287227,3.8127589544097083e-06,-0.018826962,-2.4,2.6839108
0.0046102908,50.0,3.375,0.00031989193,6.245873025121763e-06,-0.025234979,-3.35,2.6593077
0.002407067,50.0,3.375,0.00029204693,2.03591849319721e-06,-0.016017167,-2.45,2.6496558
0.002540932,50.0,3.375,0.00028495508,5.907830865269177e-06,-0.013242731,-2.7,2.63921
0.0025406089,50.0,3.375,0.0002804726,3.510062895923438e-06,-0.01702063,-2.5,2.6160932
0.0021576295,50.0,3.375,0.00032348756,1.994558894151107e-06,-0.010882886,-2.4,2.619066
0.0029138208,50.0,3.375,0.00030775237,3.6407802733963973e-06,-0.014907311,-2.15,2.611649
0.0045468216,50.0,3.375,0.0003185523,1.098007651605646e-06,-0.035211705,-1.95,2.596784
0.0031324169,50.0,3.375,0.0003258745,7.548874299202026e-06,-0.014172162,-2.1,2.5685978
