kl,rewards,critic_loss,entropy,value_func_loss,steps,beta,policy_ppo_loss,policy_ddpg_loss
0.0015849182,-49.35,2.3061222e-05,3.6202605,1.3353884865554833e-05,50.0,1.0,-0.010215211,-0.00016648277
0.005390133,-47.4,2.306414e-05,3.6052103,6.397081817450598e-05,50.0,1.0,-0.011102575,-0.00044952153
0.0039846315,-47.9,2.2513575e-05,3.5983782,9.60953383886277e-05,50.0,1.0,-0.014084281,-0.00023539475
0.0059630796,-47.3,2.1202362e-05,3.584588,0.0001368497540905978,50.0,1.0,-0.00962268,-0.00029729266
0.007968728,-48.5,2.1993746e-05,3.561592,7.734886464467214e-05,50.0,1.5,-0.017616829,-0.0002923124
0.002628091,-47.55,2.1047335e-05,3.5656462,7.027821322885302e-05,50.0,1.5,-0.013582719,-0.00023133791
0.0031301389,-49.3,2.3913048e-05,3.5667422,3.1521451959513934e-05,50.0,1.5,-0.010913657,-0.0003586114
0.0025643264,-46.75,2.3848175e-05,3.5677917,0.00015229578309841182,50.0,1.5,-0.010400898,-0.0005068581
0.0034516482,-47.55,2.6451387e-05,3.571869,4.1140237016328204e-05,50.0,1.5,-0.013487864,-0.00026672336
0.0102650635,-44.55,2.318475e-05,3.584231,0.0003009649458800374,50.0,2.25,-0.02395438,-0.00037003597
0.002384897,-41.7,2.3499486e-05,3.5970507,0.0002813020612174673,50.0,2.25,-0.012737231,-0.00036057376
0.0034427277,-41.7,2.2359583e-05,3.596157,0.00038874378460549845,50.0,2.25,-0.012343638,-9.471821e-05
0.0021063914,-45.35,2.1502998e-05,3.5985775,0.00018455223975901008,50.0,2.25,-0.0140623385,-0.0002426808
0.00301253,-44.95,2.1848095e-05,3.5886216,0.0002560610351170578,50.0,2.25,-0.015591695,-0.00031458677
0.0026044417,-42.15,1.9774472e-05,3.587233,0.000320479860363902,50.0,2.25,-0.014305608,-0.00020285689
0.0048245215,-43.0,2.077568e-05,3.5934873,0.0002562812991800767,50.0,2.25,-0.016083857,-0.00018467689
0.0044718543,-40.0,2.1429316e-05,3.6057625,0.00018648789949754445,50.0,2.25,-0.019666482,-0.000494788
0.005700092,-41.55,1.9613828e-05,3.6194744,0.0003448599241527382,50.0,2.25,-0.0198415,-0.00026260252
0.0046639713,-36.85,1.9792642e-05,3.6241367,0.0001834068546713809,50.0,2.25,-0.025323391,-0.00031705823
0.003693167,-32.75,1.8990539e-05,3.6214364,0.0006053334523329106,50.0,2.25,-0.017620962,-0.00058153627
0.0028157234,-34.25,1.9507044e-05,3.6148596,0.0002958548384623537,50.0,2.25,-0.018478293,-0.0005157458
0.005190841,-34.35,1.952314e-05,3.6075501,0.0007798313725186592,50.0,2.25,-0.022283249,-0.00016369997
0.0038493886,-30.75,1.9121911e-05,3.5968533,0.00042458401371652497,50.0,2.25,-0.015897669,-0.00014456079
