rewards,policy_ddpg_loss,steps,beta,policy_ppo_loss,entropy,kl,critic_loss,value_func_loss
227.09572828359063,0.001103981,106.95,1.5,-0.013843283,2.686576,0.0045518638,0.00022372193,0.003487473404653154
237.3026167000071,0.0014394082,112.35,1.5,-0.011664839,2.6783655,0.0024200473,0.0002164638,0.0014300556182832225
239.9049234604363,0.0014789712,109.35,2.25,-0.019719698,2.6765816,0.00656694,0.00021406161,0.003120442620451892
240.8725957811211,0.0020369387,113.75,2.25,-0.0143800555,2.6747155,0.0034832943,0.00021138552,0.011251576582745513
253.549768517053,0.0019818137,115.35,2.25,-0.012751429,2.6685133,0.0032212532,0.00021215726,0.005770060718593338
250.78280827282668,0.0016631645,114.95,2.25,-0.014942534,2.660982,0.0036267524,0.00020288734,0.003923384578507575
273.3458051764861,0.0013727241,122.45,2.25,-0.014879657,2.6524823,0.00385082,0.00020194419,0.0082778923639254
278.13662135360727,0.0008602625,121.3,2.25,-0.010622515,2.6446543,0.0024294294,0.00020365343,0.007583215370225767
293.0854561450629,-9.318745e-05,131.1,2.25,-0.009025589,2.6387568,0.0021355688,0.00021026182,0.0052787005399319974
297.188840155244,9.645885e-05,132.2,2.25,-0.009852568,2.6262555,0.002783319,0.00021020534,0.007402731723074119
311.32617372302684,0.00019458926,133.55,2.25,-0.0083608,2.6195412,0.0020540145,0.0002112223,0.004312311552881892
309.5630159372962,0.0009003165,132.0,1.5,-0.00835013,2.620944,0.0011028827,0.00021377741,0.010284967382592174
326.22124605543115,0.00086151256,137.55,1.5,-0.012495212,2.6247509,0.0037505599,0.00021492275,0.0023319080647067635
320.23763795936765,0.001056398,132.85,2.25,-0.015333514,2.6265771,0.006135103,0.00021731919,0.00723438149003537
330.2125445210775,0.0010377371,137.65,1.5,-0.009265337,2.611295,0.0014175759,0.00021949236,0.004843265559120091
321.588886282761,0.00082314614,131.1,1.5,-0.011927617,2.6042051,0.00513353,0.0002201714,0.013805830912773296
320.8316806242762,0.0022495904,132.25,1.5,-0.013923436,2.5966687,0.004740587,0.00022044107,0.009791332188016057
336.7674784651336,0.0016422631,137.7,1.5,-0.011555165,2.5793061,0.002683596,0.00022349699,0.0030507357269386557
339.5367145358177,0.0018932738,138.15,1.5,-0.015571131,2.5682108,0.003700402,0.00022759147,0.0019188657859078933
335.3555583178678,0.0023253814,135.25,1.5,-0.010856039,2.5631588,0.0026384748,0.00022061043,0.007067954906319798
350.47646247997557,0.0015331026,140.0,1.5,-0.014421527,2.564347,0.0057043266,0.00022321969,0.003913022818696627
362.9799070374162,0.0017176584,142.7,1.5,-0.013907173,2.566785,0.003852892,0.0002194537,0.0041241310105849405
364.8130010683032,0.0019381626,140.95,1.5,-0.011809181,2.5627868,0.003201449,0.00022319247,0.008885690533652959
371.9112597800264,0.0022598647,144.2,1.5,-0.013745943,2.5528965,0.0036309971,0.00021694243,0.003372175660789577
390.72329121700693,0.0018726188,149.7,1.5,-0.013949496,2.546345,0.0038378157,0.00021806294,0.004821912892206859
393.25486705164906,0.0022608417,153.1,1.5,-0.013454776,2.5474067,0.0034691454,0.00021208412,0.007770221259851184
395.9359669868172,0.0025904716,150.65,2.25,-0.014310199,2.5453987,0.0066260374,0.00021451124,0.009079072114886809
405.09657550083784,0.0025250607,154.5,1.5,-0.008393679,2.5383499,0.0011462664,0.00021033068,0.013431099582862089
411.68586820454084,0.0026909893,151.75,2.25,-0.019917173,2.5317402,0.007905472,0.00021153093,0.01230999794042814
465.07117320658926,0.0028029513,172.65,2.25,-0.014219875,2.527205,0.00348379,0.00020412414,0.021685220865825798
506.23983134161824,0.0023053442,186.3,2.25,-0.011761288,2.5152206,0.0022163338,0.00020258751,0.04033243484802698
506.243610568603,0.0022904172,181.15,2.25,-0.009348175,2.511652,0.0015924748,0.00020008607,0.04081682448742151
523.2193230899377,0.002036659,191.8,2.25,-0.011154038,2.50585,0.0017736872,0.00019757914,0.06726847533438149
509.9968335842768,0.002582778,184.3,2.25,-0.010478726,2.5011017,0.0018036583,0.00019054515,0.05079964120153535
582.9751637782701,0.002164479,203.45,2.25,-0.012219393,2.4959202,0.0024676775,0.00018920403,0.04649420339048328
635.1366713595933,0.002219172,224.95,2.25,-0.0100613795,2.4858603,0.0018611898,0.00018896903,0.030447793310371323
599.9565266991772,0.0026096296,210.0,2.25,-0.01073876,2.4733381,0.0020821518,0.00018499474,0.04809510967965032
589.6039981390202,0.0029069341,212.1,2.25,-0.010962438,2.4615211,0.0018952901,0.00018331161,0.07114304546412045
639.5917410061099,0.0026106741,226.25,2.25,-0.008385986,2.4615579,0.0015097726,0.00017761941,0.0778861955083158
582.0630571082417,0.0027805383,207.35,2.25,-0.0096157575,2.4486187,0.0018407955,0.0001795388,0.07941502551540758
687.2393672053292,0.002590785,253.4,1.5,-0.008081184,2.4463801,0.0009896271,0.00017370927,0.09854206566667875
