steps,policy_ddpg_loss,value_func_loss,policy_ppo_loss,critic_loss,rewards,beta,kl,entropy
126.7,0.0013590084,0.004186719496337188,-0.014008384,0.0005924448,246.22618299750064,2.25,0.0033694466,2.646025
131.3,0.0017619896,0.004368248150703088,-0.012676534,0.0005700253,252.0204665902326,2.25,0.0038816405,2.6505976
135.05,0.0009693667,0.008193709691260037,-0.009961961,0.0005994988,275.6385618124174,2.25,0.0022646983,2.6521785
147.15,0.0011774821,0.0076484740890182,-0.010902561,0.00059393153,293.91140520912234,2.25,0.002824106,2.6376004
148.85,0.0011321895,0.005054374228957065,-0.010815272,0.0005813952,304.2283713426758,2.25,0.0025125097,2.6223261
149.3,0.00069558405,0.006735400885248964,-0.007573634,0.0005521505,311.23122359255814,2.25,0.0016719784,2.621865
152.7,0.00088050927,0.0042702361632993985,-0.008871683,0.0005545389,316.252854911132,2.25,0.0027502913,2.6188283
159.6,0.0016930972,0.002905687500333686,-0.009590937,0.0005545765,331.9820725262326,2.25,0.001700228,2.610329
161.65,0.0009549609,0.0013219653798023714,-0.008006012,0.00053936715,339.4650490050368,2.25,0.0015019919,2.6128879
190.05,0.0016134098,0.0038123290814278082,-0.008757525,0.00055168744,367.40146168955255,2.25,0.0023125687,2.6229353
165.15,0.0024323603,0.0028351730913145357,-0.011231474,0.00055275735,339.48935388598954,2.25,0.002444503,2.6365726
167.3,0.0016111709,0.0027615826752378815,-0.009109976,0.0005395649,350.6583292497302,2.25,0.0015950579,2.6368787
165.55,0.0016852972,0.004566411999829285,-0.010113111,0.0005505787,355.90178968729214,2.25,0.0023150623,2.6363804
163.7,0.00279332,0.005139319418763246,-0.0082538705,0.00053964334,353.59926501881887,2.25,0.001646607,2.6345654
168.15,0.0020506734,0.0029671340760575836,-0.0110126715,0.0005643657,371.7695904316496,2.25,0.002476836,2.6385145
179.05,0.0022564186,0.015187894619941097,-0.011822594,0.0005487592,396.4931226928353,2.25,0.0031157176,2.6369467
179.95,0.002251802,0.011757410525728115,-0.010911357,0.00056616386,402.00878895883136,2.25,0.0030624534,2.6253452
177.4,0.0016984921,0.05122892444667033,-0.009835425,0.00054394,406.20040602077216,2.25,0.0020735774,2.6187258
181.35,0.0033015031,0.03756252432394378,-0.010108322,0.0005563137,428.80486117021445,2.25,0.0015380104,2.6207948
179.65,0.00282024,0.0441887974357942,-0.00967294,0.000552535,417.238932917163,2.25,0.0016496564,2.6106868
187.2,0.003564883,0.06878932764236832,-0.01069756,0.0005314336,457.6906931542797,2.25,0.0016587415,2.6033607
196.15,0.0015297084,0.047767840626452125,-0.010314937,0.00052266347,456.4633803188093,2.25,0.0022449668,2.604095
