steps,rewards,critic_loss,policy_ppo_loss,policy_ddpg_loss,kl,entropy,value_func_loss,beta
203.9,324.662340887126,0.00016559164,-0.004295666,-0.0055353455,0.003402448,2.6236496,0.007026158438367493,1.5
220.2,346.39011463860913,0.00016176749,-0.0058548003,-0.0036127898,0.0026625327,2.6177285,0.0012041517263913877,1.5
216.05,335.1759355267078,0.00016370729,0.0017467472,-0.0065683024,0.0017092504,2.604969,0.008924756092006304,1.5
223.2,349.811683974724,0.0001609539,-0.004959396,-0.0044639786,0.0037492544,2.6010942,0.0011593412824762214,1.5
240.15,366.334950102352,0.00016021289,-0.002339861,-0.0044705407,0.0027371908,2.5994046,0.0004661256027173153,1.5
255.35,381.8075406937319,0.00015633472,-0.00059830653,-0.005048464,0.0017865825,2.5930257,0.0005314479885997787,1.5
259.65,379.7442969154252,0.00015055755,0.0012615358,-0.007108933,0.0033965122,2.580524,0.006336151712437763,1.5
269.15,395.4637138173797,0.00015275436,-0.0035849535,-0.0054722875,0.002735495,2.5737166,0.0007923119637973276,1.5
288.75,415.02165086002367,0.00015068363,-0.00046478538,-0.0055968286,0.0021994289,2.5739408,0.00044229445939379615,1.5
306.9,432.5463133305424,0.00014757222,0.00053925486,-0.006615935,0.0033208183,2.5756707,0.00045541855408194474,1.5
321.55,447.5538009378579,0.00014563839,0.00084846397,-0.0066737533,0.0021767542,2.5689006,0.0003318306637105398,1.5
321.0,441.25012806858103,0.00014373721,0.010925939,-0.010854983,0.0021945017,2.5630884,0.006157232015310822,1.5
348.5,473.8381003454,0.00014171866,0.00012834254,-0.0071892203,0.001986983,2.557295,0.000748723778041982,1.5
382.65,504.84635099153786,0.00013969459,0.0059917895,-0.007505352,0.0031104218,2.5447667,0.0011755007386436839,1.5
387.4,507.0474425788435,0.0001363801,0.008389419,-0.010342388,0.0021175104,2.5377553,0.007593896953259834,1.5
