steps,policy_ddpg_loss,rewards,policy_ppo_loss,critic_loss,value_func_loss,beta,entropy,kl
209.4,0.0015571552,407.6850570690791,-0.0065305554,0.000118062184,0.0016436287764817618,1.5,2.5824146,0.0016241008
193.55,0.001835715,397.90753031215894,-0.010771297,0.000118219,0.0018126558045767015,1.5,2.580196,0.0038631137
186.3,0.0024853353,384.8415562046377,-0.011547652,0.000117321,0.01332049520217321,1.5,2.5749016,0.005328257
194.75,0.0020691352,405.39033245721276,-0.007878562,0.00011816344,0.005698120536660284,1.5,2.5744965,0.0020226995
196.55,0.0017143587,395.1602090440946,-0.009983577,0.00011761293,0.006713028638397408,1.5,2.5682054,0.0032216543
212.85,0.0014472121,414.5366444117012,-0.0076821153,0.000116666175,0.007656730214189653,1.5,2.56453,0.0021014751
218.95,0.0016752473,425.9478360340381,-0.006293137,0.00011580509,0.00316225943012738,1.5,2.5645313,0.0018980488
218.9,0.0019614089,440.7413721996165,-0.01091818,0.00011422871,0.005487076145442227,1.5,2.559302,0.0041918787
216.7,0.0024230978,453.93310254359005,-0.0115904985,0.00011495823,0.02334593069650858,1.5,2.568227,0.003995787
192.2,0.0024215998,396.68735582692204,-0.007828703,0.000115690054,0.032071119373615814,1.5,2.5723994,0.0026700194
217.3,0.0022160613,472.85458405124535,-0.0068235444,0.0001137333,0.02912714592843164,1.0,2.5642095,0.0011214991
209.0,0.001931442,437.94066546900433,-0.008633033,0.0001123346,0.04391735866881116,1.0,2.5492609,0.0028340041
194.3,0.001209005,404.5391883893706,-0.013754865,0.00011321148,0.03197943497943714,1.5,2.5437925,0.008686029
