value_func_loss,entropy,rewards,kl,steps,policy_loss,beta
0.0001810358737556718,3.4640908,-44.45,0.00260317,50.0,-0.024825709,5.0625
0.0003649012129138389,3.4496381,-44.15,0.005378265,50.0,-0.033145472,5.0625
0.00021996638855600366,3.4365063,-39.45,0.002820957,50.0,-0.026564147,5.0625
0.00030937064403683976,3.4262545,-41.15,0.006924676,50.0,-0.03915951,7.59375
0.00021509808163751453,3.4031556,-43.15,0.0028306318,50.0,-0.024760595,7.59375
0.00028484173565200197,3.400447,-39.0,0.004306589,50.0,-0.026807193,7.59375
0.0003038427929639097,3.404606,-37.8,0.0021107837,50.0,-0.02639736,7.59375
0.0006219565153812259,3.40336,-34.3,0.002361572,50.0,-0.023083942,7.59375
0.0003377686103263614,3.3902383,-41.4,0.001855278,50.0,-0.016418349,7.59375
0.0005008581970548323,3.3720853,-35.3,0.002469497,50.0,-0.023855574,7.59375
0.00016224882248541434,3.3490791,-35.65,0.003196439,50.0,-0.027197199,7.59375
0.0004106855445862544,3.3213732,-36.9,0.0020734104,50.0,-0.02482132,7.59375
0.00019317906413700113,3.3037562,-32.2,0.002585055,50.0,-0.027532479,7.59375
0.00033203635519815986,3.2850766,-29.55,0.0024134885,50.0,-0.02363571,7.59375
0.0004437322125016553,3.2630029,-30.25,0.0018528893,50.0,-0.019874329,7.59375
0.00042274712425365474,3.2500458,-26.45,0.003005949,50.0,-0.03094899,7.59375
0.0003211317225657393,3.2215538,-25.85,0.002572432,50.0,-0.028160207,7.59375
0.00041513671011220567,3.201029,-24.7,0.0034542193,50.0,-0.030305112,7.59375
0.0003465093677176716,3.1840365,-23.8,0.0038295956,50.0,-0.03318336,7.59375
0.00041978200016455793,3.1561825,-22.4,0.00282436,50.0,-0.025240082,7.59375
0.00023367554059279332,3.1240034,-18.1,0.0027231209,50.0,-0.028394174,7.59375
0.0003464204243812541,3.1004083,-17.5,0.0035844233,50.0,-0.02661197,7.59375
0.0002277892207814336,3.0817626,-20.2,0.002412448,50.0,-0.025286155,7.59375
0.00039276107111917185,3.059112,-15.25,0.0024459234,50.0,-0.025778428,7.59375
0.00023599025444640372,3.0471897,-17.95,0.0033326645,50.0,-0.03240162,7.59375
0.00019970739937307896,3.0241303,-18.9,0.0029681807,50.0,-0.025858777,7.59375
0.00018835055695367532,2.9999864,-15.5,0.0023318934,50.0,-0.02105513,7.59375
0.0002944580505389314,2.9779625,-15.25,0.0037480688,50.0,-0.03040632,7.59375
0.0001956863748362867,2.9596505,-15.35,0.0022998797,50.0,-0.019979088,7.59375
0.0001415492803919281,2.9332182,-13.05,0.0031192843,50.0,-0.029881958,7.59375
0.00014254246323338907,2.9087331,-10.8,0.0019632394,50.0,-0.021953253,7.59375
0.00018232885147956602,2.8827887,-12.3,0.003113004,50.0,-0.029307336,7.59375
0.0001513665587162179,2.8595688,-10.5,0.002680697,50.0,-0.024090543,7.59375
9.285711910037404e-05,2.8338153,-8.8,0.0035713247,50.0,-0.031387717,7.59375
6.27282374796803e-05,2.8006098,-7.4,0.0029570572,50.0,-0.025168391,7.59375
7.821202207196992e-05,2.766211,-7.2,0.0037425302,50.0,-0.03107244,7.59375
0.00010198809343474735,2.7387052,-7.95,0.0035169253,50.0,-0.031601384,7.59375
4.728537740567458e-05,2.7049153,-4.35,0.0018354359,50.0,-0.022183988,7.59375
5.321396101560484e-05,2.6802955,-5.7,0.0023762812,50.0,-0.024760116,7.59375
9.57722972107022e-05,2.6566362,-6.65,0.0021552215,50.0,-0.021469142,7.59375
5.7326383052071283e-05,2.6300251,-5.8,0.0028046274,50.0,-0.029884009,7.59375
3.09610659156393e-05,2.6102695,-3.9,0.0022518244,50.0,-0.02883525,7.59375
2.2452599218470424e-05,2.5944197,-5.15,0.0021110394,50.0,-0.023534374,7.59375
2.693544447196203e-05,2.5706573,-4.5,0.0015564845,50.0,-0.018433958,7.59375
4.449834945499855e-05,2.5420198,-5.5,0.0014797385,50.0,-0.01906292,5.0625
3.637245821316655e-05,2.52445,-3.95,0.003851459,50.0,-0.033532165,5.0625
6.626977156465093e-05,2.4999547,-4.8,0.0030087188,50.0,-0.023660313,5.0625
2.3258673901211178e-05,2.4763415,-3.7,0.0031523178,50.0,-0.029702721,5.0625
1.2696416696291603e-05,2.4603524,-2.75,0.0024920143,50.0,-0.027407348,5.0625
2.3993267476504736e-05,2.4481442,-3.2,0.003659796,50.0,-0.027102057,5.0625
1.620935224124525e-05,2.426811,-3.6,0.0033334163,50.0,-0.02713823,5.0625
4.558224250205611e-06,2.404292,-2.65,0.0032750575,50.0,-0.028794922,5.0625
1.9777726608421628e-05,2.3849204,-3.8,0.0029376417,50.0,-0.02475453,5.0625
7.0738135441004665e-06,2.3805895,-2.9,0.0029122827,50.0,-0.026136551,5.0625
1.1007144121350433e-05,2.3601968,-2.75,0.0021257596,50.0,-0.024349207,5.0625
1.4054568841308829e-05,2.3520243,-2.75,0.0024473679,50.0,-0.027480869,5.0625
4.40668379241802e-06,2.3424664,-2.1,0.0028099355,50.0,-0.030329244,5.0625
9.21970697043974e-06,2.3395143,-2.2,0.0037458001,50.0,-0.022306696,5.0625
6.814062115069562e-06,2.330769,-2.65,0.0031326872,50.0,-0.029198108,5.0625
6.36985119688319e-06,2.3151186,-2.25,0.0047266893,50.0,-0.03150221,5.0625
7.78313246383305e-06,2.2959661,-2.4,0.0027850892,50.0,-0.02051946,5.0625
7.809445124234893e-06,2.2834764,-2.05,0.0021760147,50.0,-0.0211699,5.0625
2.3278328730848923e-06,2.2624617,-1.6,0.0022715316,50.0,-0.025133442,5.0625
4.0656645794332856e-06,2.2484412,-2.05,0.0032514557,50.0,-0.03306596,5.0625
1.9571754783183225e-06,2.2323868,-1.95,0.0029455812,50.0,-0.028116971,5.0625
3.972102175135921e-06,2.2259119,-1.8,0.002266456,50.0,-0.026187757,5.0625
